booking_id,booking_date,customer_id,customer_name,city,service_type,payment_mode,booking_amount,booking_status
80,2025-07-09,5723,Customer_1921,Mumbai,Hotel,Debit Card,22011.9,Pending
81,2025-10-23,3438,Customer_7948,Mumbai,Flight,UPI,17214.85,Confirmed
82,2025-08-01,3983,Customer_7320,Kolkata,Hotel,UPI,18036.65,Confirmed
83,2025-07-27,2210,Customer_3584,Bangalore,Hotel,Credit Card,15655.84,Confirmed
84,2025-08-25,1599,Customer_3140,Chennai,Train,Credit Card,2343.15,Confirmed
85,2025-12-04,2846,Customer_3975,Delhi,Bus,UPI,1951.93,Confirmed
86,2025-02-22,2855,Customer_7540,Kolkata,Bus,Net Banking,11014.7,Cancelled
87,2025-10-07,2887,Customer_3420,Hyderabad,Flight,UPI,23297.25,Confirmed
88,2025-08-05,1679,Customer_7141,Delhi,Hotel,Net Banking,13355.35,Confirmed
89,2025-09-09,4252,Customer_2039,Hyderabad,Bus,Credit Card,21959.17,Cancelled
90,2025-07-07,2835,Customer_1733,Bangalore,Train,UPI,2865.47,Pending
91,2025-02-10,5030,Customer_5927,Bangalore,Hotel,UPI,18244.4,Confirmed
92,2025-06-06,3177,Customer_32,Mumbai,Train,UPI,6510.78,Confirmed
93,2025-01-15,1148,Customer_1969,Pune,Train,Debit Card,13350.16,Cancelled
94,2025-10-28,2495,Customer_2975,Pune,Train,Debit Card,7676.57,Cancelled
95,2025-03-06,5913,Customer_6764,Bangalore,Bus,Credit Card,17952.17,Confirmed
96,2025-12-11,2744,Customer_7247,Hyderabad,Train,UPI,10321.78,Confirmed
97,2025-11-23,2646,Customer_3331,Pune,Train,UPI,11823.13,Cancelled
98,2025-01-09,3995,Customer_3569,Delhi,Bus,Net Banking,6510.96,Confirmed
99,2025-12-10,2672,Customer_2926,Kolkata,Bus,Debit Card,7395.72,Confirmed
100,2025-05-09,2939,Customer_2223,Delhi,Bus,Credit Card,4897.15,Confirmed
101,2025-05-16,1657,Customer_3439,Delhi,Flight,Credit Card,14068.06,Confirmed
102,2025-03-04,4667,Customer_15,Pune,Hotel,UPI,4052.43,Confirmed
103,2025-05-19,2053,Customer_3123,Kolkata,Hotel,UPI,7070.96,Confirmed
104,2025-03-22,5071,Customer_107,Delhi,Flight,Debit Card,13496.3,Cancelled
105,2025-06-12,1576,Customer_3794,Mumbai,Flight,Net Banking,7233.37,Confirmed
106,2025-10-16,4095,Customer_4565,Pune,Flight,Debit Card,14918.24,Cancelled
107,2025-09-18,4031,Customer_202,Delhi,Bus,Credit Card,847.02,Confirmed
108,2025-08-19,5818,Customer_7957,Hyderabad,Train,Debit Card,24343.96,Confirmed
109,2025-02-10,5779,Customer_7386,Mumbai,Bus,Debit Card,18384.73,Confirmed
110,2025-01-28,5837,Customer_7209,Kolkata,Train,Credit Card,12843.57,Confirmed
111,2025-05-15,3972,Customer_6008,Mumbai,Hotel,Credit Card,23060.53,Confirmed
112,2025-07-20,4948,Customer_1795,Pune,Train,Credit Card,21809.27,Confirmed
113,2025-11-24,3045,Customer_1409,Mumbai,Flight,UPI,9480.58,Confirmed
114,2025-09-25,4936,Customer_917,Bangalore,Hotel,Net Banking,3345.16,Confirmed
115,2025-02-02,3948,Customer_7883,Mumbai,Train,UPI,6679.69,Confirmed
116,2025-02-17,2627,Customer_4432,Hyderabad,Flight,Debit Card,5612.89,Confirmed
117,2025-03-03,2488,Customer_7779,Kolkata,Train,Net Banking,18876.41,Confirmed
118,2025-08-04,5145,Customer_1685,Pune,Train,Debit Card,13928.69,Cancelled
119,2025-10-20,5198,Customer_6249,Pune,Train,Debit Card,21327.41,Confirmed
120,2025-04-09,5463,Customer_6347,Delhi,Hotel,UPI,12497.67,Confirmed
121,2025-06-21,1935,Customer_7678,Kolkata,Train,Net Banking,19359.24,Cancelled
122,2025-12-26,4563,Customer_3167,Bangalore,Flight,UPI,8423.86,Confirmed
123,2025-08-02,4629,Customer_7345,Delhi,Train,Credit Card,15252.69,Confirmed
124,2025-02-04,2714,Customer_65,Chennai,Flight,Credit Card,16165.3,Confirmed
125,2025-08-15,2802,Customer_4649,Bangalore,Bus,UPI,19102.53,Confirmed
126,2025-04-11,2420,Customer_4320,Kolkata,Hotel,UPI,20087.47,Confirmed
127,2025-05-11,4591,Customer_3651,Hyderabad,Bus,UPI,7274.32,Confirmed
128,2025-09-14,4520,Customer_6524,Bangalore,Bus,Debit Card,9933.92,Confirmed
129,2025-01-05,4311,Customer_6399,Mumbai,Hotel,Net Banking,5574.81,Confirmed
130,2025-08-06,3305,Customer_2016,Bangalore,Bus,Net Banking,18821.94,Confirmed
131,2025-09-12,2995,Customer_1322,Mumbai,Flight,Credit Card,7132.84,Cancelled
132,2025-12-25,2967,Customer_7749,Delhi,Flight,Net Banking,10079.97,Confirmed
133,2025-10-10,4714,Customer_4025,Bangalore,Flight,Net Banking,20174.15,Cancelled
134,2025-07-26,5035,Customer_6315,Bangalore,Flight,Net Banking,8825.16,Cancelled
135,2025-01-15,5485,Customer_613,Hyderabad,Bus,Debit Card,7641.76,Confirmed
136,2025-12-12,5868,Customer_652,Chennai,Hotel,Credit Card,16453.95,Confirmed
137,2025-02-11,4458,Customer_4814,Bangalore,Bus,UPI,24396.65,Pending
138,2025-06-28,1393,Customer_6976,Delhi,Hotel,Net Banking,2034.29,Pending
139,2025-03-04,5778,Customer_1388,Mumbai,Hotel,Net Banking,20952.32,Confirmed
140,2025-12-18,4730,Customer_2867,Delhi,Bus,Debit Card,3479.32,Cancelled
141,2025-08-19,5365,Customer_2121,Kolkata,Bus,Credit Card,8950.0,Confirmed
142,2025-08-29,5244,Customer_5180,Pune,Flight,Net Banking,10709.59,Confirmed
143,2025-02-21,5906,Customer_6599,Pune,Hotel,Debit Card,18109.11,Confirmed
144,2025-04-06,1027,Customer_6480,Hyderabad,Hotel,UPI,23200.87,Confirmed
145,2025-08-10,4491,Customer_4764,Pune,Train,Credit Card,2999.27,Cancelled
146,2025-08-19,5261,Customer_3196,Bangalore,Hotel,Net Banking,18747.81,Confirmed
147,2025-08-25,2173,Customer_7623,Kolkata,Flight,UPI,8396.16,Cancelled
148,2025-05-23,1338,Customer_4110,Chennai,Hotel,Net Banking,22596.82,Confirmed
149,2025-06-20,2068,Customer_5536,Chennai,Train,Credit Card,7316.31,Cancelled
150,2025-01-29,1841,Customer_7944,Bangalore,Train,Debit Card,17499.62,Confirmed
151,2025-02-05,5284,Customer_6171,Chennai,Hotel,Net Banking,4536.52,Confirmed
152,2025-01-13,5746,Customer_3829,Delhi,Flight,Credit Card,23969.7,Confirmed
153,2025-06-09,1293,Customer_5170,Mumbai,Train,Debit Card,605.95,Confirmed
154,2025-11-23,2857,Customer_6331,Bangalore,Train,UPI,6204.87,Pending
155,2025-07-06,2322,Customer_3129,Pune,Train,Net Banking,17060.63,Confirmed
156,2025-08-31,2647,Customer_4867,Mumbai,Bus,UPI,21411.34,Cancelled
157,2025-03-27,5898,Customer_6811,Chennai,Flight,Net Banking,24842.15,Confirmed
158,2025-10-11,4620,Customer_5086,Hyderabad,Flight,Credit Card,4744.89,Confirmed
159,2025-03-07,5526,Customer_3106,Kolkata,Bus,UPI,8025.02,Cancelled
160,2025-06-19,4094,Customer_538,Mumbai,Hotel,Net Banking,22350.37,Confirmed
161,2025-02-14,4491,Customer_7930,Kolkata,Train,Credit Card,1296.25,Confirmed
162,2025-03-03,4495,Customer_6117,Kolkata,Train,Net Banking,18466.38,Confirmed
163,2025-05-14,5582,Customer_5032,Hyderabad,Bus,Debit Card,10864.77,Confirmed
164,2025-10-11,4801,Customer_2419,Delhi,Hotel,Credit Card,17376.04,Confirmed
165,2025-01-28,1088,Customer_6230,Hyderabad,Flight,Credit Card,13360.05,Confirmed
166,2025-04-18,5366,Customer_2208,Mumbai,Hotel,Net Banking,15864.24,Confirmed
167,2025-02-13,2956,Customer_6569,Mumbai,Flight,Credit Card,16833.26,Cancelled
168,2025-12-06,1899,Customer_5999,Bangalore,Train,UPI,15965.53,Pending
169,2025-10-13,4477,Customer_5832,Pune,Hotel,Net Banking,16781.79,Cancelled
170,2025-11-27,2744,Customer_3178,Hyderabad,Flight,Debit Card,14424.52,Confirmed
171,2025-05-08,5373,Customer_5511,Delhi,Hotel,Credit Card,17990.44,Confirmed
172,2025-12-14,3253,Customer_7680,Bangalore,Hotel,Debit Card,19512.58,Confirmed
173,2025-08-19,4661,Customer_2323,Bangalore,Hotel,UPI,19804.42,Cancelled
174,2025-07-09,3960,Customer_5409,Delhi,Bus,Credit Card,21411.07,Confirmed
175,2025-08-13,2633,Customer_2038,Bangalore,Flight,Credit Card,8251.86,Confirmed
176,2025-10-10,1861,Customer_4354,Delhi,Flight,Net Banking,18771.45,Confirmed
177,2025-05-01,5701,Customer_963,Chennai,Train,Debit Card,23693.2,Confirmed
178,2025-04-26,2013,Customer_1244,Bangalore,Flight,Net Banking,9502.97,Confirmed
179,2025-08-21,4299,Customer_7118,Mumbai,Train,Debit Card,19552.21,Confirmed
180,2025-09-16,2506,Customer_6671,Chennai,Bus,Net Banking,7640.84,Cancelled
181,2025-12-25,4205,Customer_533,Bangalore,Train,Debit Card,4801.45,Pending
182,2025-07-17,5803,Customer_1870,Delhi,Train,Net Banking,11437.46,Cancelled
183,2025-05-17,1977,Customer_3131,Chennai,Bus,Credit Card,20260.04,Cancelled
184,2025-11-14,4461,Customer_5480,Pune,Bus,Credit Card,8024.5,Confirmed
185,2025-06-14,2817,Customer_7762,Chennai,Bus,Debit Card,7726.01,Confirmed
186,2025-08-13,4684,Customer_1654,Mumbai,Hotel,Net Banking,7303.04,Confirmed
187,2025-11-03,5058,Customer_113,Bangalore,Flight,Debit Card,5843.96,Confirmed
188,2025-08-22,3634,Customer_7975,Bangalore,Hotel,Net Banking,15472.22,Cancelled
189,2025-06-21,5901,Customer_1300,Delhi,Train,Debit Card,6461.75,Confirmed
190,2025-06-01,5815,Customer_2305,Chennai,Bus,UPI,23405.12,Confirmed
191,2025-11-11,4666,Customer_4425,Mumbai,Bus,Credit Card,8975.31,Confirmed
192,2025-06-09,1948,Customer_6921,Delhi,Hotel,Debit Card,13788.77,Confirmed
193,2025-04-06,1473,Customer_3307,Pune,Train,UPI,10524.68,Confirmed
194,2025-08-21,1567,Customer_4147,Delhi,Flight,Credit Card,24086.54,Confirmed
195,2025-06-29,4432,Customer_1702,Mumbai,Train,UPI,10888.28,Cancelled
196,2025-04-23,5023,Customer_3815,Bangalore,Bus,Net Banking,14310.51,Cancelled
197,2025-11-14,3258,Customer_221,Mumbai,Train,Net Banking,19203.87,Confirmed
198,2025-02-21,4144,Customer_2831,Bangalore,Hotel,Net Banking,4696.77,Cancelled
199,2025-09-25,5310,Customer_2644,Hyderabad,Train,Debit Card,1299.72,Confirmed
200,2025-10-22,5995,Customer_5350,Chennai,Hotel,UPI,11645.54,Pending
201,2025-04-23,2982,Customer_3881,Mumbai,Train,UPI,13990.71,Confirmed
202,2025-04-11,2096,Customer_4318,Pune,Train,Net Banking,7533.0,Confirmed
203,2025-04-23,4570,Customer_5039,Pune,Hotel,Debit Card,11831.36,Cancelled
204,2025-03-22,4390,Customer_7834,Kolkata,Hotel,Net Banking,15571.43,Cancelled
205,2025-07-06,3672,Customer_5174,Delhi,Flight,Debit Card,24345.19,Confirmed
206,2025-04-23,4646,Customer_5751,Bangalore,Flight,Credit Card,15243.54,Confirmed
207,2025-01-02,3419,Customer_3782,Chennai,Train,UPI,11497.0,Confirmed
208,2025-05-10,5279,Customer_1959,Pune,Bus,Debit Card,1051.95,Confirmed
209,2025-08-08,4348,Customer_1297,Chennai,Bus,Net Banking,8109.29,Cancelled
210,2025-02-23,1673,Customer_6342,Mumbai,Flight,Debit Card,9282.91,Confirmed
211,2025-12-09,3802,Customer_6272,Delhi,Flight,Debit Card,12185.14,Confirmed
212,2025-08-12,3369,Customer_5724,Pune,Train,Credit Card,19663.19,Confirmed
213,2025-08-13,5530,Customer_1033,Mumbai,Hotel,Net Banking,19509.24,Pending
214,2025-05-06,2066,Customer_5083,Delhi,Hotel,UPI,21209.51,Confirmed
215,2025-05-10,1687,Customer_4323,Hyderabad,Hotel,Debit Card,7604.82,Confirmed
216,2025-02-22,5983,Customer_2606,Mumbai,Bus,Net Banking,8988.25,Confirmed
217,2025-06-21,1068,Customer_7302,Kolkata,Bus,UPI,4180.85,Confirmed
218,2025-08-06,3103,Customer_6084,Bangalore,Bus,Debit Card,21506.69,Confirmed
219,2025-06-09,1419,Customer_7184,Mumbai,Bus,Debit Card,16479.76,Confirmed
220,2025-07-17,4998,Customer_6359,Mumbai,Hotel,Net Banking,2399.97,Confirmed
221,2025-09-04,3597,Customer_3184,Pune,Train,UPI,7939.6,Confirmed
222,2025-11-20,5338,Customer_4951,Kolkata,Train,UPI,4241.76,Cancelled
223,2025-07-22,3124,Customer_3229,Hyderabad,Bus,Credit Card,24246.09,Confirmed
224,2025-07-03,4892,Customer_6569,Pune,Bus,Credit Card,8452.77,Confirmed
225,2025-05-03,1439,Customer_1476,Hyderabad,Hotel,Net Banking,12663.45,Confirmed
226,2025-09-12,2286,Customer_2366,Pune,Hotel,UPI,8288.6,Cancelled
227,2025-10-21,2208,Customer_2408,Mumbai,Train,Debit Card,12120.27,Confirmed
228,2025-10-07,2078,Customer_7544,Delhi,Flight,Net Banking,24966.24,Confirmed
229,2025-11-21,3563,Customer_936,Hyderabad,Train,Credit Card,7541.03,Confirmed
230,2025-04-08,4623,Customer_5054,Hyderabad,Train,Net Banking,7424.24,Cancelled
231,2025-07-17,2253,Customer_2968,Delhi,Train,UPI,9598.8,Confirmed
232,2025-08-28,4357,Customer_2950,Chennai,Hotel,Net Banking,4648.26,Confirmed
233,2025-05-24,4209,Customer_5416,Kolkata,Bus,Credit Card,18605.3,Confirmed
234,2025-04-07,4549,Customer_2246,Hyderabad,Hotel,UPI,9793.84,Confirmed
235,2025-07-20,1614,Customer_5690,Hyderabad,Bus,Debit Card,14731.04,Cancelled
236,2025-05-04,4078,Customer_6542,Delhi,Flight,Credit Card,16701.93,Confirmed
237,2025-07-06,3723,Customer_2638,Delhi,Flight,Credit Card,1368.37,Confirmed
238,2025-11-22,4490,Customer_4338,Mumbai,Flight,Credit Card,16278.07,Confirmed
239,2025-12-15,4543,Customer_6573,Kolkata,Bus,Net Banking,13552.85,Pending
240,2025-09-16,5515,Customer_3951,Mumbai,Train,Credit Card,2529.84,Cancelled
241,2025-05-28,2900,Customer_2659,Chennai,Bus,Net Banking,3549.92,Confirmed
242,2025-09-09,5371,Customer_6150,Chennai,Flight,Net Banking,11299.56,Confirmed
243,2025-12-12,2712,Customer_1815,Chennai,Train,UPI,8984.54,Confirmed
244,2025-05-27,3329,Customer_7486,Bangalore,Flight,UPI,11218.65,Confirmed
245,2025-05-28,4619,Customer_3284,Delhi,Bus,Credit Card,16070.12,Confirmed
246,2025-12-18,2194,Customer_1297,Hyderabad,Train,Net Banking,4283.41,Confirmed
247,2025-07-18,5906,Customer_3156,Delhi,Bus,Debit Card,16729.89,Confirmed
248,2025-11-04,2378,Customer_1648,Delhi,Bus,Net Banking,20544.1,Confirmed
249,2025-05-08,2312,Customer_6854,Chennai,Bus,UPI,571.74,Confirmed
250,2025-02-08,3915,Customer_360,Delhi,Train,UPI,9527.36,Confirmed
251,2025-12-04,1749,Customer_3453,Bangalore,Flight,Net Banking,7241.61,Confirmed
252,2025-12-26,1300,Customer_3612,Pune,Flight,Net Banking,11083.99,Confirmed
253,2025-05-09,5695,Customer_1165,Hyderabad,Train,Net Banking,15574.33,Confirmed
254,2025-09-24,4982,Customer_5630,Pune,Hotel,Debit Card,5095.45,Confirmed
255,2025-05-31,5624,Customer_3245,Chennai,Train,Net Banking,3785.34,Confirmed
256,2025-10-25,4837,Customer_7188,Kolkata,Hotel,Credit Card,18356.54,Confirmed
257,2025-04-09,1277,Customer_4026,Mumbai,Bus,Credit Card,17300.95,Confirmed
258,2025-09-20,5758,Customer_6097,Kolkata,Flight,UPI,11790.69,Confirmed
259,2025-09-09,3558,Customer_3701,Kolkata,Bus,Debit Card,12782.41,Confirmed
260,2025-05-24,4917,Customer_503,Pune,Hotel,Debit Card,7111.6,Confirmed
261,2025-12-12,3161,Customer_5686,Hyderabad,Train,UPI,8564.89,Confirmed
262,2025-04-22,5675,Customer_6371,Pune,Bus,Credit Card,8342.02,Cancelled
263,2025-03-01,2389,Customer_4205,Mumbai,Train,Credit Card,18295.21,Confirmed
264,2025-01-02,1690,Customer_4839,Mumbai,Train,Debit Card,14113.26,Confirmed
265,2025-10-31,5732,Customer_1344,Delhi,Hotel,Net Banking,18372.47,Cancelled
266,2025-09-11,4468,Customer_3380,Hyderabad,Train,Net Banking,14972.56,Cancelled
267,2025-05-20,2848,Customer_3813,Bangalore,Hotel,Debit Card,13868.09,Confirmed
268,2025-02-06,5918,Customer_811,Delhi,Train,Debit Card,8354.26,Confirmed
269,2025-06-09,5970,Customer_7255,Mumbai,Train,Debit Card,10188.91,Confirmed
270,2025-01-09,4816,Customer_786,Pune,Train,Debit Card,22241.25,Confirmed
271,2025-08-21,1939,Customer_228,Hyderabad,Flight,Debit Card,14610.29,Cancelled
272,2025-04-09,4182,Customer_4948,Delhi,Train,Debit Card,13349.15,Confirmed
273,2025-05-27,4309,Customer_7478,Hyderabad,Bus,Debit Card,1801.72,Cancelled
274,2025-10-31,3050,Customer_828,Pune,Flight,Debit Card,16936.78,Confirmed
275,2025-07-27,2746,Customer_379,Chennai,Hotel,Net Banking,17307.43,Confirmed
276,2025-05-11,3451,Customer_5703,Bangalore,Train,UPI,17421.09,Confirmed
277,2025-06-01,1024,Customer_3812,Bangalore,Hotel,Credit Card,2734.94,Cancelled
278,2025-02-23,3556,Customer_2026,Bangalore,Bus,UPI,7861.15,Confirmed
279,2025-04-30,1060,Customer_6529,Mumbai,Bus,UPI,9595.04,Confirmed
280,2025-06-10,1122,Customer_6257,Mumbai,Bus,Debit Card,20749.17,Cancelled
281,2025-04-26,3102,Customer_3365,Bangalore,Bus,Debit Card,24526.48,Cancelled
282,2025-03-16,2186,Customer_3377,Hyderabad,Train,Debit Card,10661.32,Cancelled
283,2025-04-23,2730,Customer_2339,Chennai,Hotel,UPI,14079.88,Confirmed
284,2025-04-14,5641,Customer_1129,Mumbai,Hotel,Net Banking,679.76,Confirmed
285,2025-12-06,5089,Customer_6083,Pune,Hotel,Debit Card,715.09,Confirmed
286,2025-09-11,3472,Customer_291,Delhi,Flight,Debit Card,2325.26,Cancelled
287,2025-08-15,3965,Customer_3549,Delhi,Flight,Credit Card,18126.93,Confirmed
288,2025-04-22,3277,Customer_7689,Mumbai,Train,Net Banking,4864.35,Confirmed
289,2025-04-09,5087,Customer_2725,Bangalore,Flight,Debit Card,19067.3,Confirmed
290,2025-06-02,3964,Customer_60,Hyderabad,Bus,Net Banking,11080.97,Cancelled
291,2025-12-15,2310,Customer_5432,Chennai,Train,Credit Card,21324.24,Pending
292,2025-12-04,1154,Customer_4202,Delhi,Train,UPI,21822.75,Confirmed
293,2025-07-13,3212,Customer_2671,Mumbai,Train,Credit Card,22055.91,Confirmed
294,2025-11-06,4253,Customer_6233,Hyderabad,Hotel,Net Banking,13815.81,Confirmed
295,2025-06-12,2262,Customer_3340,Bangalore,Flight,Debit Card,19818.43,Confirmed
296,2025-07-27,2362,Customer_2790,Chennai,Bus,Debit Card,16716.85,Confirmed
297,2025-06-18,1937,Customer_3655,Chennai,Train,Credit Card,5074.47,Confirmed
298,2025-06-10,1511,Customer_3191,Delhi,Bus,Credit Card,9847.16,Confirmed
299,2025-03-09,1186,Customer_4996,Kolkata,Train,Net Banking,24077.88,Confirmed
300,2025-10-16,2845,Customer_2493,Delhi,Bus,Net Banking,19427.84,Confirmed
301,2025-10-04,2702,Customer_5549,Pune,Hotel,Net Banking,6943.35,Confirmed
302,2025-10-31,1390,Customer_5103,Mumbai,Bus,Debit Card,7383.87,Cancelled
303,2025-05-15,1654,Customer_7519,Kolkata,Flight,Credit Card,6727.44,Confirmed
304,2025-07-14,5271,Customer_6066,Chennai,Bus,Net Banking,8555.97,Confirmed
305,2025-05-08,3821,Customer_4402,Bangalore,Train,Credit Card,23243.53,Cancelled
306,2025-02-02,1763,Customer_2663,Bangalore,Train,Debit Card,11121.79,Cancelled
307,2025-06-25,4400,Customer_202,Kolkata,Hotel,UPI,9424.18,Cancelled
308,2025-01-22,5806,Customer_7088,Mumbai,Hotel,Net Banking,6359.97,Confirmed
309,2025-08-26,4267,Customer_5143,Chennai,Train,UPI,22364.0,Cancelled
310,2025-06-07,2085,Customer_3162,Delhi,Train,Debit Card,23955.73,Confirmed
